UT,PY,AU
ISI:000079736400882,1999,"Frisoni, GB; Fratiglioni, L; Viitanen, M; Winblad, B"
ISI:000079876900008,1999,"Kowalska, A; Forsell, C; Florczak, J; Pruchnik-Wolinska, D; Modestowicz, R; Paprzycki, W; Wender, M; Lannfelt, L"
ISI:000079877300005,1999,"Andreasen, N; Blennow, K; Sjodin, C; Winblad, B; Svardsudd, K"
ISI:000079903200039,1999,"Sheu, KFR; Brown, AM; Kristal, BS; Kalaria, RN; Lilius, L; Lannfelt, L; Blass, JP"
ISI:000080166700012,1999,"von Strauss, E; Viitanen, M; De Ronchi, D; Winblad, B; Fratiglioni, L"
ISI:000080226100020,1999,"Paris, D; Town, T; Parker, TA; Tan, J; Humphrey, J; Crawford, F; Mullan, M"
ISI:000080443700011,1999,"Crawford, F; Freeman, M; Town, T; Fallin, D; Gold, M; Duara, R; Mullan, M"
ISI:000080504600011,1999,"Hassing, L; Wahlin, A; Winblad, B; Backman, L"
ISI:000080559100005,1999,"Giron, MST; Claesson, C; Thorslund, M; Oke, T; Winblad, B; Fastbom, J"
ISI:000080672200015,1999,"Guo, ZC; Viitanen, M; Winblad, B; Fratiglioni, L"
ISI:000080685300005,1999,"Andreasen, N; Hesse, C; Davidsson, P; Minthon, L; Wallin, A; Winblad, B; Vanderstichele, H; Vanmechelen, E; Blennow, K"
ISI:000080758500024,1999,"Backman, L; Andersson, JLR; Nyberg, L; Winblad, B; Nordberg, A; Almkvist, O"
ISI:000080958200003,1999,"Wimo, A; Winblad, B; Grafstrom, M"
ISI:000080958200007,1999,"Forsell, Y; Winblad, B"
ISI:000081021300005,1999,"Arendash, GW; Su, GC; Crawford, FC; Bjugstad, KB; Mullan, M"
ISI:000081051500004,1999,"Wahlund, LO; Julin, P; Lannfelt, L; Lindqvist, J; Svensson, L"
ISI:000081058000009,1999,"Tan, J; Town, T; Paris, D; Placzek, A; Parker, T; Crawford, F; Yu, H; Humphrey, J; Mullan, M"
ISI:000081076500005,1999,"Holmen, K; Ericsson, K; Winblad, B"
ISI:000081174100005,1999,"Kostulas, K; Huang, WX; Crisby, M; Jin, YP; He, B; Lannfelt, L; Eggertsen, G; Kostulas, V; Hillert, J"
ISI:000081504200065,1999,"Winblad, B"
ISI:000081510000005,1999,"Mustafa, M; Mustafa, A; Nyberg, F; Mangat, H; Elhassan, A; Winblad, B; Adem, A"
ISI:000081555000011,1999,"Zou, LP; Pelidou, SH; Abbas, N; Deretzi, G; Mix, E; Schaltzbeerg, M; Winblad, B; Zhu, J"
ISI:000081630800002,1999,"Crawford, F; Town, T; Freeman, M; Schinka, J; Gold, M; Duara, R; Mullan, M"
ISI:000081701200039,1999,"Garcia-Jimenez, A; Cowburn, RF; Winblad, B; Fastbom, J"
ISI:000081876900014,1999,"Houlden, H; Baker, M; Adamson, J; Grover, A; Waring, S; Dickson, D; Lynch, T; Boeve, B; Petersen, RC; Pickering-Brown, S; Owen, F; Neary, D; Craufurd, D; Snowden, J; Mann, D; Hutton, M"
ISI:000081922500003,1999,"Nilsberth, C; Luthman, J; Lannfelt, L; Schultzberg, M"
ISI:000081923300044,1999,"Backman, L; Small, BJ; Forsell, Y; Winblad, B; Berger, AK"
ISI:000081965200085,1999,"Grover, A; Houlden, H; Baker, M; Adamson, J; Lewis, J; Prihar, G; Pickering-Brown, S; Duff, K; Hutton, M"
ISI:000082018700010,1999,"Eriksson, C; Van Dam, AM; Lucassen, PJ; Bol, JGJM; Winblad, B; Schultzberg, M"
ISI:000082062300007,1999,"Aguero-Torres, H; Fratiglioni, L; Guo, Z; Viianen, M; Winblad, B"
ISI:000082215200007,1999,"Pham, TM; Soderstrom, S; Winblad, B; Mohammed, AH"
ISI:000082256900005,1999,"Cedazo-Minguez, A; Bonecchi, L; Winblad, B; Post, C; Wong, EHF; Cowburn, RF; Benatti, L"
ISI:000082416600001,1999,"Carlson, LA; Gottfries, CG; Winblad, B; Robertsson, B"
ISI:000082454900004,1999,"Grimby, C; Fastbom, J; Forsell, Y; Thorslund, M; Claesson, CB; Winblad, B"
